;第1課 はじめまして;  初めまして;アルメニア語;英語
;１ 私の名前・国・仕事 ;;;
01;わたし;私;ես;I
02;（お)なまえ;(お)名前;անուն*1;"name (""O"" prefix not used when referring to oneself)"
03;（お)くに;(お)国;երկիր*1;"country (""O"" prefix not used when referring to one's own country)"
04;にほん;日本;Ճապոնիա;Japan
05;アメリカ;;Ամերիկա;America
06;イタリア;;Իտալիա;Italy
07;オーストラリア;;Ավստրալիա;Australia
08;かんこく;韓国;Կորեա;Korea
09;タイ;;Թաիլանդ;Thailand
10;ちゅうごく;中国;Չինաստան;China
11;ロシア;;Ռուսաստան;Russia
12;こうこう;高校;ավագ դպրոց;high school
13;だいがく;大学;համալսարան;university
14;にほんごがっこう;日本語学校;Ճապոներեն լեզվի դպրոց;Japanese language school
15;（お）しごと;(お) 仕事;աշխատանք, գործ*1;"work/ job (""O"" prefix not used when referring to one's own work)"
16;がくせい;学生;ուսանող;student
17;せんせい;先生;ուսուցիչ (աշխատանքի անվանում է նաև օգտագործվում է ուսուցչին դիմելու ժամանակ՝  Ողջույն ընկեր Տանակա);"teacher (job title and used when addressing a teacher: ""Konnichiha, Tanaka Sensei."")"
18;きょうし;教師;ուսուցիչ (աշխատանքի անվանում);teacher (job title)
19;かいしゃいん;会社員;աշխատող՝ երբ աշխատանքն են մատնանշում;business person
20;しゃいん;社員;աշխատակից՝ երբ անձին են մատնանշում;company employee
21;～さん;;~պարոն, ~տիկին, ~օրիորդ՝ վերջածանց, որը կցվում է անձի հատուկ անունը նշելուց;Mr./ Mrs./Miss/ Ms.
22;～じん（れい：にほんじん）;〜人 (日本人);~ացի՝ վերջածանց, որը ցույց է տալիս անձի ազգությունը, ռասա (օր․ ճապոնացի);nationality/ race (e.g.: Japanese)
23;どちら;どちら;որը;which
24;おくにはどちらですか。;お国はどちらですか;Ո՞ր երկրից ես/եք։ Որտեղի՞ց ես/եք։;Which country are you from? / Where are you from?
25;はじめまして;初めまして;Շատ հաճելի է։ Ուրախ եմ ծանոթանալ։  (անծանոթին առաջին անգամ հանդիպելուց);It's a pleasure to meet you.
26;（どうぞ）よろしくおねがいします;(どうぞ)よろしくお願いします;Սպասում եմ ձեզ հետ համագործակցելուն։;I'm looking forward to knowing you.
27;こちらこそ;;Ես նույնպես;Me, too.
28;あのう;;Ը՜մ (մտածելու, հապաղելու արձագանք);"Ah/""Um"""
29;すみません;;Ներեցեք, կներեք;Excuse me.
30;あのう、すみません。;;Վա՜յ, ներեցեք խնդրում եմ․․․;Ah, excuse me.
31;そうですか;;իսկապե՞ս, իրո՞ք;"Oh, really?/ ""Oh, is that so?"""
32;はい;;Այո;Yes.
33;いいえ;;Ոչ;No.
;2 私の誕生日;;;
34;たんじょうび;誕生日;ծնունդ;birthday
35;ブラジル;;Բրազիլիա;Brazil
36;～がつ;〜月;~ ամիս (1-ին ամիս, 2-րդ ամիս և այդպես շարունակ);～month (1st month = January, 2nd month = February, and so on.)
37;～にち;〜日;~ օր (որպես շաբաթվա օր, օր․՝ Երկուշաբթի);～day (as in Monday)
38;～さい;〜歳;~ տարեկան;～years old
39;いつ;;երբ (միայն հարցի ժամանակ);when
;３ 私の趣味 ;;;
40;しゅみ;趣味;նախասիրություն, զբաղմունք, հոբբի;hobby/ interest
41;スポーツ;;սպորտ;sports
42;サッカー;;ֆուտբոլ;soccer
43;テニス;;թենիս;tennis
44;すいえい;水泳;լող;swimming
45;えいが;映画;ֆիլմ;movies
46;おんがく;音楽;երաժշտություն;music
47;どくしょ;読書;ընթերցանություն;reading
48;りょこう;旅行;ճամփորդություն;travel
49;りょうり;料理;կերակուր, խոհարարություն;cooking
50;わたしのしゅみはりょうりです。;私の趣味は料理です;Իմ զբաղմունքը խոհարարությունն է։;My hobby is cooking.
51;なん;何;ինչ;what
52;あ（っ）;;Ա՛հ (զարմանք արտահայտող բացականչություն);Ah
;もう一度聞こう;;;
53;わあ;;Վա՜յ;Wow!
54;"
おなじですね_x005F_x000D_
";同じですね;Դա նույնն է, չէ՞։;It's the same, isn't it?
